Genus	Species	ProteomeID	Description	taxaID	ReleaseDate	ProteinCount
Aster	yellows	UP000001934	Aster yellows witches'-broom phytoplasma (strain AYWB)	322098	2015-04-13	690
Astyanax	mexicanus	UP000018467	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	7994	2015-04-14	23669
Atopobium	parvulum	UP000000960	Atopobium parvulum (strain ATCC 33793 / DSM 20469 / JCM 10300 / VPI 0546) (Streptococcus parvulus) (Peptostreptococcus parvulus)	521095	2015-05-03	1353
Atta	cephalotes	UP000005205	Atta cephalotes (Leafcutter ant)	12957	2015-04-13	18080
Auricularia	delicata	UP000006514	Auricularia delicata (strain TFB10046) (White-rot fungus)	717982	2015-04-10	5290
Azoarcus	sp.	UP000002588	Azoarcus sp. (strain BH72)	62928	2015-04-09	3981
Azobacteroides	pseudotrichonymphae	UP000000723	Azobacteroides pseudotrichonymphae genomovar. CFP2	511995	2015-04-09	847
Azorhizobium	caulinodans	UP000000270	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)	438753	2015-04-09	4708
Azospirillum	lipoferum	UP000005667	Azospirillum lipoferum (strain 4B)	862719	2015-04-13	6062
Azotobacter	vinelandii	UP000002424	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	322710	2015-04-09	4990
Bacillus	weihenstephanensis	UP000002154	Bacillus weihenstephanensis (strain KBAB4)	315730	2015-06-07	5650
Bacillus	amyloliquefaciens	UP000001120	Bacillus amyloliquefaciens subsp. plantarum (strain DSM 23117 / BGSC 10A6 / FZB42)	326423	2015-06-07	3693
Bacillus	atrophaeus	UP000006867	Bacillus atrophaeus (strain 1942)	720555	2015-06-03	1
Bacillus	cellulosilyticus	UP000001401	Bacillus cellulosilyticus (strain ATCC 21833 / DSM 2522 / FERM P-1141 / JCM 9156 / N-4)	649639	2015-04-13	4253
Bacillus	cereus	UP000002612	Bacillus cereus (strain ZK / E33L)	288681	2015-04-13	5638
Bacillus	clausii	UP000001168	Bacillus clausii (strain KSM-K16)	66692	2015-06-07	4082
Bacillus	halodurans	UP000001258	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	272558	2015-04-13	4006
Bacillus	licheniformis	UP000000606	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46)	279010	2015-05-22	4164
Bacillus	megaterium	UP000002365	Bacillus megaterium (strain DSM 319)	592022	2015-04-24	5100
Bacillus	pumilus	UP000001355	Bacillus pumilus (strain SAFR-032)	315750	2015-06-07	3675
Bacillus	selenitireducens	UP000000271	Bacillus selenitireducens (strain ATCC 700615 / DSM 15326 / MLS10)	439292	2015-04-09	3231
Bacillus	subtilis	UP000001570	Bacillus subtilis (strain 168)	224308	2015-05-12	4197
Bacillus	thuringiensis	UP000007483	Bacillus thuringiensis subsp. finitimus (strain YBT-020)	930170	2015-04-13	5739
Bacteriovorax	marinus	UP000008963	Halobacteriovorax marinus (strain ATCC BAA-682 / DSM 15412 / SJ) (Bacteriovorax marinus)	862908	2015-05-13	3230
Bacteroides	vulgatus	UP000002861	Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / NCTC 11154)	435590	2015-04-09	3982
Bacteroides	fragilis	UP000002197	Bacteroides fragilis (strain YCH46)	295405	2015-04-13	4597
Bacteroides	helcogenes	UP000008630	Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108)	693979	2015-04-09	3240
Bacteroides	salanitronis	UP000007486	Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78)	667015	2015-04-09	3608
Bacteroides	thetaiotaomicron	UP000001414	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	226186	2015-04-13	4782
Bartonella	vinsonii	UP000011726	Bartonella vinsonii subsp. berkhoffii (strain Winnie)	1094497	2015-06-04	1423
Bartonella	bacilliformis	UP000000643	Bartonella bacilliformis (strain ATCC 35685 / KC583)	360095	2015-04-09	1255
Bartonella	clarridgeiae	UP000009101	Bartonella clarridgeiae (strain CIP 104772 / 73)	696125	2015-04-09	1307
Bartonella	grahamii	UP000001489	Bartonella grahamii (strain as4aup)	634504	2015-04-09	1709
Bartonella	henselae	UP000000421	Bartonella henselae (strain ATCC 49882 / DSM 28221 / Houston 1) (Rochalimaea henselae)	283166	2015-06-04	329
Bartonella	quintana	UP000000597	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	283165	2015-06-03	312
Bartonella	tribocorum	UP000001592	Bartonella tribocorum (strain CIP 105476 / IBS 506)	382640	2015-04-09	1962
Batrachochytrium	dendrobatidis	UP000007241	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	2015-04-10	8610
Baumannia	cicadellinicola	UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	2015-04-09	595
Bdellovibrio	bacteriovorus	UP000008080	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIB 9529 / HD100)	264462	2015-04-09	3583
Beijerinckia	indica	UP000001695	Beijerinckia indica subsp. indica (strain ATCC 9039 / DSM 1715 / NCIB 8712)	395963	2015-04-09	3774
Beutenbergia	cavernae	UP000007962	Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432)	471853	2015-05-03	4195
Bifidobacterium	longum	UP000001360	Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12)	391904	2015-05-03	2399
Bifidobacterium	adolescentis	UP000008702	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	367928	2015-05-03	1629
Bifidobacterium	animalis	UP000002343	Bifidobacterium animalis subsp. lactis (strain Bl-04 / DGCC2908 / RB 4825 / SD5219)	580050	2015-06-04	1566
Bifidobacterium	bifidum	UP000006869	Bifidobacterium bifidum (strain S17)	883062	2015-05-03	1783
Bifidobacterium	breve	UP000008279	Bifidobacterium breve (strain ACS-071-V-Sch8b)	866777	2015-05-03	1821
Bifidobacterium	dentium	UP000008693	Bifidobacterium dentium (strain ATCC 27534 / DSM 20436 / JCM 1195 / Bd1)	401473	2015-05-03	2121
Blastococcus	saxobsidens	UP000007517	Blastococcus saxobsidens (strain DD2)	1146883	2015-05-03	4791
Blattabacterium	sp.	UP000002225	Blattabacterium sp. subsp. Periplaneta americana (strain BPLAN) (Periplaneta americana symbiotic bacterium)	600809	2015-04-13	581
Blochmannia	vafer	UP000007464	Blochmannia vafer (strain BVAF)	859654	2015-04-09	587
Blochmannia	floridanus	UP000002192	Blochmannia floridanus	203907	2015-04-09	583
Blochmannia	pennsylvanicus	UP000007794	Blochmannia pennsylvanicus (strain BPEN)	291272	2015-04-09	610
Bombyx	mori	UP000005204	Bombyx mori (Silk moth)	7091	2015-05-15	14767
Bordetella	petrii	UP000001225	Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448)	340100	2015-04-13	4912
Bordetella	avium	UP000001977	Bordetella avium (strain 197N)	360910	2015-04-09	3372
Bordetella	bronchiseptica	UP000001027	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	257310	2015-06-03	525
Bordetella	parapertussis	UP000001421	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	257311	2015-04-13	4161
Bordetella	pertussis	UP000002676	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	257313	2015-04-13	3258
Borrelia	turicatae	UP000001205	Borrelia turicatae (strain 91E135)	314724	2015-05-03	818
Borrelia	afzelii	UP000005216	Borrelia afzelii (strain PKo)	390236	2015-05-22	1394
Borrelia	burgdorferi	UP000006901	Borrelia burgdorferi (strain ZS7)	445985	2015-06-03	160
Borrelia	duttonii	UP000000611	Borrelia duttonii (strain Ly)	412419	2015-05-03	1287
Borrelia	garinii	UP000002276	Borrelia garinii (strain PBi)	290434	2015-05-03	1262
Borrelia	hermsii	UP000008834	Borrelia hermsii (strain HS1 / DAH)	314723	2015-06-04	819
Borrelia	recurrentis	UP000000612	Borrelia recurrentis (strain A1)	412418	2015-05-03	977
Bos	taurus	UP000009136	Bos taurus (Bovine)	9913	2015-05-10	23868
Brachybacterium	faecium	UP000001919	Brachybacterium faecium (strain ATCC 43885 / DSM 4810 / NCIB 9860)	446465	2015-05-03	3062
Brachypodium	distachyon	UP000008810	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	15368	2015-05-15	29942
Brachyspira	pilosicoli	UP000000332	Brachyspira pilosicoli (strain ATCC BAA-1826 / 95/1000)	759914	2015-05-03	2301
Brachyspira	hyodysenteriae	UP000001803	Brachyspira hyodysenteriae (strain ATCC 49526 / WA1)	565034	2015-05-03	2642
Brachyspira	intermedia	UP000008522	Brachyspira intermedia (strain ATCC 51140 / PWS/A) (Serpulina intermedia)	1045858	2015-05-03	2872
Bradyrhizobium	sp.	UP000001994	Bradyrhizobium sp. (strain ORS278)	114615	2015-04-09	6701
Bradyrhizobium	japonicum	UP000002526	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	224911	2015-04-13	8253
Branchiostoma	floridae	UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	2015-04-13	28544
Brevibacillus	brevis	UP000001877	Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)	358681	2015-04-09	5887
Brevundimonas	subvibrioides	UP000002696	Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides)	633149	2015-06-04	3326
Brucella	suis	UP000000824	Brucella suis biovar 1 (strain 1330)	204722	2015-06-04	3256
Brucella	abortus	UP000000540	Brucella abortus biovar 1 (strain 9-941)	262698	2015-06-05	3076
Brucella	canis	UP000001385	Brucella canis (strain ATCC 23365 / NCTC 10854)	483179	2015-04-13	3238
Brucella	melitensis	UP000000419	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	224914	2015-04-13	3178
Brucella	microti	UP000002188	Brucella microti (strain CCM 4915)	568815	2015-04-13	3270
Brucella	ovis	UP000006383	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	444178	2015-06-03	336
Brugia	malayi	UP000026912	Brugia malayi (Filarial nematode worm)	6279	2015-04-20	17848
Buchnera	aphidicola	UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	2015-04-09	362
Burkholderia	xenovorans	UP000001817	Burkholderia xenovorans (strain LB400)	266265	2015-04-13	8591
Burkholderia	ambifaria	UP000000662	Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD))	339670	2015-04-13	6600
Burkholderia	cenocepacia	UP000001035	Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315))	216591	2015-05-22	6993
Burkholderia	gladioli	UP000008316	Burkholderia gladioli (strain BSR3)	999541	2015-05-01	7351
Burkholderia	glumae	UP000002187	Burkholderia glumae (strain BGR1)	626418	2015-04-13	5660
Burkholderia	mallei	UP000006708	Burkholderia mallei (strain SAVP1)	320388	2015-06-04	4981
Burkholderia	multivorans	UP000008815	Burkholderia multivorans (strain ATCC 17616 / 249)	395019	2015-05-03	337
Burkholderia	phymatum	UP000001192	Burkholderia phymatum (strain DSM 17167 / STM815)	391038	2015-04-13	7461
Burkholderia	phytofirmans	UP000001739	Burkholderia phytofirmans (strain DSM 17436 / PsJN)	398527	2015-04-13	7197
Burkholderia	pseudomallei	UP000000605	Burkholderia pseudomallei (strain K96243)	272560	2015-04-13	5717
Burkholderia	sp.	UP000001550	Burkholderia sp. (strain CCGE1003)	640512	2015-04-09	5983
Burkholderia	thailandensis	UP000001930	Burkholderia thailandensis (strain E264 / ATCC 700388 / DSM 13276 / CIP 106301)	271848	2015-04-13	5561
Burkholderia	vietnamiensis	UP000002287	Burkholderia vietnamiensis (strain G4 / LMG 22486) (Burkholderia cepacia (strain R1808))	269482	2015-06-03	7409
Butyrivibrio	proteoclasticus	UP000001299	Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum)	515622	2015-04-13	3799
Caenorhabditis	remanei	UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	2015-04-13	31252
Caenorhabditis	brenneri	UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	2015-04-10	29982
Caenorhabditis	elegans	UP000001940	Caenorhabditis elegans	6239	2015-06-07	26096
Caenorhabditis	japonica	UP000005237	Caenorhabditis japonica	281687	2015-05-10	35063
Caldicellulosiruptor	saccharolyticus	UP000000256	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331)	351627	2015-04-20	2629
Caldicellulosiruptor	bescii	UP000007723	Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / Z-1320) (Anaerocellum thermophilum)	521460	2015-04-13	2652
Caldicellulosiruptor	hydrothermalis	UP000006890	Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108)	632292	2015-04-09	2521
Caldicellulosiruptor	obsidiansis	UP000000347	Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / strain OB47)	608506	2015-04-09	2184
Caldicellulosiruptor	owensensis	UP000006889	Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL)	632518	2015-04-09	2133
Caldisericum	exile	UP000004793	Caldisericum exile (strain DSM 21853 / NBRC 104410 / AZM16c01)	511051	2015-04-10	1566
Caldisphaera	lagunensis	UP000010469	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / IC-154)	1056495	2015-04-13	1477
Calditerrivibrio	nitroreducens	UP000007039	Calditerrivibrio nitroreducens (strain DSM 19672 / NBRC 101217 / Yu37-1)	768670	2015-04-09	2089
Caldivirga	maquilingensis	UP000001137	Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	397948	2015-04-09	1962
Callithrix	jacchus	UP000008225	Callithrix jacchus (White-tufted-ear marmoset)	9483	2015-04-13	42032
Campylobacter	lari	UP000007727	Campylobacter lari (strain RM2100 / D67 / ATCC BAA-1060)	306263	2015-04-23	1545
Campylobacter	concisus	UP000001121	Campylobacter concisus (strain 13826)	360104	2015-04-23	2063
Campylobacter	curvus	UP000006380	Campylobacter curvus (strain 525.92)	360105	2015-04-23	1928
Campylobacter	fetus	UP000000760	Campylobacter fetus subsp. fetus (strain 82-40)	360106	2015-04-23	1715
Campylobacter	hominis	UP000002407	Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A)	360107	2015-04-23	1687
Campylobacter	jejuni	UP000000436	Campylobacter jejuni (strain RM1221)	195099	2015-06-04	1836
Candida	tenuis	UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast)	590646	2015-04-10	6051
Candida	albicans	UP000001429	Candida albicans (strain WO-1) (Yeast)	294748	2015-04-13	5742
Candida	glabrata	UP000002428	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)	284593	2015-04-13	5200
